Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh,HG2900.read_q
52,90,0,-10,67,20
53,90,0,-10,95,15
54,90,0,-10,67,18
55,90,0,-10,38,20
56,90,0,-10,10,20
57,180,0,10,10,20
58,90,0,10,38,20
59,90,0,10,67,20
60,90,0,10,95,20
61,90,0,10,67,20
62,90,0,10,38,20
63,90,0,10,10,20
64,180,0,21,10,20
65,90,0,21,38,20
66,90,0,21,67,20
67,90,0,21,95,20
68,90,0,21,67,20
69,90,0,21,38,20
70,90,0,21,10,20
