,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh,HG2900.read_q
21,30,0,40,50,20
22,30,0,40,50,20
23,30,0,40,50,20
24,30,0,40,50,20
25,30,0,40,50,20
26,30,0,40,50,20
27,30,0,40,50,20
28,30,0,40,50,20
29,120,0,40,50,20
30,90,0,40,50,20
31,90,0,50,50,20
32,90,0,50,50,20
33,90,0,50,50,20
34,90,0,50,50,20
35,90,0,50,50,20
36,120,0,30,50,20
37,90,0,30,50,20
38,90,0,30,50,20
39,90,0,30,50,20
40,90,0,30,50,20
41,90,0,30,50,20
42,90,0,30,50,20
43,180,0,10,50,20
44,90,0,10,50,20
45,90,0,10,50,20
46,90,0,10,50,20
47,90,0,10,50,20
48,90,0,10,50,20
49,90,0,10,50,20
50,180,0,-10,50,20
51,90,0,-10,50,20
52,90,0,-10,50,20
53,90,0,-10,50,20
54,90,0,-10,50,20
55,90,0,-10,50,20
56,90,0,-10,50,20
57,180,0,0,50,20
58,90,0,0,50,20
59,90,0,0,50,20
60,90,0,0,50,20
56,90,0,-10,50,20
56,90,0,-10,50,20
57,180,0,0,50,20
58,90,0,0,50,20
56,2,0,-10,50,20
56,180,0,-10,50,20
57,180,0,0,50,20
58,90,0,0,50,20
59,90,0,0,50,20
60,90,0,0,50,20
61,90,0,0,50,20
62,90,0,0,50,20
63,90,0,0,50,20
64,180,0,21,50,20
65,90,0,21,50,20
66,90,0,21,50,20
67,90,0,21,50,20
68,90,0,21,50,20
69,90,0,21,50,20
70,90,0,21,50,20
